Dataset,Attack,Model,Metric,Value
german,deepfool,lr,pred_attack_success,1.0
german,deepfool,lr,groundtruth_attack_success,0.8125
german,deepfool,lr,original_accuracy,0.8125
german,deepfool,lr,robust_accuracy,0.1875
german,deepfool,svc,pred_attack_success,1.0
german,deepfool,svc,groundtruth_attack_success,0.8125
german,deepfool,svc,original_accuracy,0.8125
german,deepfool,svc,robust_accuracy,0.1875
german,deepfool,nn_2,pred_attack_success,0.9583333333333334
german,deepfool,nn_2,groundtruth_attack_success,0.8072916666666666
german,deepfool,nn_2,original_accuracy,0.796875
german,deepfool,nn_2,robust_accuracy,0.19270833333333334
german,carlini_l_2,lr,pred_attack_success,0.7239583333333334
german,carlini_l_2,lr,groundtruth_attack_success,0.9114583333333334
german,carlini_l_2,lr,original_accuracy,0.8125
german,carlini_l_2,lr,robust_accuracy,0.08854166666666667
german,carlini_l_2,svc,pred_attack_success,0.0
german,carlini_l_2,svc,groundtruth_attack_success,0.1875
german,carlini_l_2,svc,original_accuracy,0.8125
german,carlini_l_2,svc,robust_accuracy,0.8125
german,carlini_l_2,nn_2,pred_attack_success,0.5729166666666666
german,carlini_l_2,nn_2,groundtruth_attack_success,0.7760416666666666
german,carlini_l_2,nn_2,original_accuracy,0.796875
german,carlini_l_2,nn_2,robust_accuracy,0.22395833333333334
german,carlini_l_inf,lr,pred_attack_success,0.03125
german,carlini_l_inf,lr,groundtruth_attack_success,0.21875
german,carlini_l_inf,lr,original_accuracy,0.8125
german,carlini_l_inf,lr,robust_accuracy,0.78125
german,carlini_l_inf,svc,pred_attack_success,0.026041666666666668
german,carlini_l_inf,svc,groundtruth_attack_success,0.21354166666666666
german,carlini_l_inf,svc,original_accuracy,0.8125
german,carlini_l_inf,svc,robust_accuracy,0.7864583333333334
german,carlini_l_inf,nn_2,pred_attack_success,0.020833333333333332
german,carlini_l_inf,nn_2,groundtruth_attack_success,0.22395833333333334
german,carlini_l_inf,nn_2,original_accuracy,0.796875
german,carlini_l_inf,nn_2,robust_accuracy,0.7760416666666666
