Dataset Name,Model Name,Accuracy,Precision,Recall,F1 Score
adult,dt,0.8241977583294948,0.648285137861466,0.6078184110970997,0.6273999349170192
adult,rfc,0.8467680024566252,0.7106017191977078,0.6254728877679697,0.6653252850435949
adult,svc,0.8504529402732995,0.7533112582781457,0.5737704918032787,0.651395848246242
adult,lr,0.8509135575003839,0.7465918203688853,0.5870113493064313,0.6572537945640663
adult,nn,0.8524489482573315,0.7542717656631408,0.5844892812105927,0.6586145648312611
adult,nn_2,0.8507600184246891,0.7402190923317684,0.5964691046658259,0.6606145251396648
german,dt,0.67,0.46153846153846156,0.4918032786885246,0.4761904761904762
german,rfc,0.8,0.7441860465116279,0.5245901639344263,0.6153846153846153
german,svc,0.775,0.6428571428571429,0.5901639344262295,0.6153846153846154
german,lr,0.77,0.6363636363636364,0.5737704918032787,0.6034482758620691
german,nn,0.755,0.6153846153846154,0.5245901639344263,0.5663716814159292
german,nn_2,0.79,0.6417910447761194,0.7049180327868853,0.671875
compas,dt,0.7352737352737353,0.8451801363193768,0.7956003666361137,0.8196411709159585
compas,rfc,0.7837837837837838,0.8518518518518519,0.8643446379468378,0.8580527752502275
compas,svc,0.8073458073458073,0.8430379746835444,0.9156736938588451,0.8778558875219685
compas,lr,0.8135828135828136,0.8500851788756388,0.9147571035747021,0.8812362030905078
compas,nn,0.799029799029799,0.8201438848920863,0.9404216315307058,0.8761742100768573
compas,nn_2,0.8052668052668053,0.8571428571428571,0.8909257561869844,0.8737078651685393
diabetes,dt,0.7467532467532467,0.6376811594202898,0.7586206896551724,0.6929133858267716
diabetes,rfc,0.8116883116883117,0.7843137254901961,0.6896551724137931,0.7339449541284404
diabetes,svc,0.7987012987012987,0.813953488372093,0.603448275862069,0.693069306930693
diabetes,lr,0.7792207792207793,0.8,0.5517241379310345,0.6530612244897959
diabetes,nn,0.7532467532467533,0.7272727272727273,0.5517241379310345,0.6274509803921569
diabetes,nn_2,0.7857142857142857,0.7659574468085106,0.6206896551724138,0.6857142857142856
breast_cancer,dt,0.9649122807017544,0.9743589743589743,0.926829268292683,0.9500000000000001
breast_cancer,rfc,0.9824561403508771,1.0,0.9512195121951219,0.975
breast_cancer,svc,0.9912280701754386,1.0,0.975609756097561,0.9876543209876543
breast_cancer,lr,0.9649122807017544,1.0,0.9024390243902439,0.9487179487179488
breast_cancer,nn,0.9824561403508771,0.975609756097561,0.975609756097561,0.975609756097561
breast_cancer,nn_2,0.9736842105263158,0.975,0.9512195121951219,0.9629629629629629
